trial_number,value,state,max_depth,min_child_weight,gamma,learning_rate,n_estimators,subsample,colsample_bytree,colsample_bylevel,reg_alpha,reg_lambda
12,12.866247034517945,COMPLETE,8,4,2.656177936324856,0.03630124622286316,181,0.9971453973158266,0.9960184854215254,0.6713996441331582,9.893994766280143,0.029516343259726713
13,13.147056928398701,COMPLETE,6,5,2.5219650355276277,0.017976127434021272,154,0.9994107066972372,0.993483630254652,0.6356715442497869,8.080660344471642,6.9203056718932725
14,12.84372236547527,COMPLETE,5,4,1.9755655615362295,0.10623748987574275,223,0.9286955650046743,0.8999487987995395,0.6104731105196085,7.91845596334003,2.6385877559538566
15,13.160260286082359,COMPLETE,8,6,0.9066612139236887,0.0469959213517015,51,0.8197342331354388,0.9351755911350293,0.83663589538233,9.560368195640883,0.11415438757052417
16,12.888654047306428,COMPLETE,5,1,3.100744538922787,0.02333015520227412,268,0.511847705752916,0.8033335157062427,0.6865713548474154,2.217740953747577,6.274198266149677
17,13.214166542468398,COMPLETE,8,4,2.1317333304704706,0.012557913195426828,194,0.7267815860965117,0.946799673803901,0.578975650030028,7.382372593743246,2.2294612764253197
18,12.841558301859205,COMPLETE,7,6,3.109682635188853,0.09876765195838011,140,0.9428983388935598,0.8017287766156609,0.8229194490168246,8.766012324747306,8.68227004246371
19,12.931973253379217,COMPLETE,4,3,1.0638005431247568,0.05300784004873508,177,0.8425054101541488,0.8490483200027006,0.5058104808137767,6.732727201080799,3.8153410849888756
20,12.841716086963373,COMPLETE,6,1,2.957096221643995,0.02270732970664685,204,0.9590548716260863,0.9349101204891608,0.6533283231204836,8.777037991257597,1.3846305309633724
21,12.864502763447542,COMPLETE,7,6,3.137491883272267,0.13274614860635459,129,0.9370131449085561,0.8202599877269706,0.8429836090598364,8.947055311225697,9.639118732897966
22,12.887253328040632,COMPLETE,7,7,2.122848610850654,0.11310775770940591,151,0.8881033495857399,0.7311213963056294,0.9997067470438427,9.677532509378729,8.597022329559753
23,12.873136355107757,COMPLETE,8,5,1.382308408103406,0.0796640722772623,147,0.9997281381562774,0.7381005935219093,0.707720631344365,8.137529653548647,5.584653508335607
